"""content""","""contenttype""","""created""","""id""","""language"""
"b'@InesyAitor @cuatro Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas p\xe2\x80\xa6 https://t.co/AoAdOLNzyQ'","""text/plain""",1579707542,1.22001E+18,"""es"""
"b'@Quesobola2 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labor\xe2\x80\xa6 https://t.co/qqiNWifFkH'","""text/plain""",1579707458,1.22001E+18,"""es"""
"b'@PilukiMarGon Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por lab\xe2\x80\xa6 https://t.co/Ngu8FhhB3K'","""text/plain""",1579707393,1.22001E+18,"""es"""
"b'@NGarciAlmeria Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por la\xe2\x80\xa6 https://t.co/E7kaTSH28S'","""text/plain""",1579707306,1.22001E+18,"""es"""
"b'@Cuetano68 @ReclamaConsumo @ElCascabelTRECE @TRECE_es Nuestras joyas son de oro y plata de primera ley, cumplen la\xe2\x80\xa6 https://t.co/mUaCHQCaQh'","""text/plain""",1579706994,1.22001E+18,"""es"""
"b'@Kokeshi35649248 @ASOC_ES_JOYEROS Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n\xe2\x80\xa6 https://t.co/SeqXGVA1NE'","""text/plain""",1579706901,1.22001E+18,"""es"""
b'Compartimos el comunicado publicado tras la comparecencia. TOUS siempre ha cumplido con la ley y confiamos en la ju\xe2\x80\xa6 https://t.co/E5zcX4oGPc',"""text/plain""",1579706860,1.22001E+18,"""es"""
"b'@eduvallejo33 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por lab\xe2\x80\xa6 https://t.co/yns2QYrM3Q'","""text/plain""",1579706597,1.22E+18,"""es"""
"b'@VeronicaBarbec1 @AliExpress_EN Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n ce\xe2\x80\xa6 https://t.co/YtUUBY0MNn'","""text/plain""",1579706443,1.22E+18,"""es"""
"b'@sararuvi84 @anon000001 @sandrus60984450 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y\xe2\x80\xa6 https://t.co/r1SHDT3eTi'","""text/plain""",1579706380,1.22E+18,"""es"""
"b'@anaky2002 @TunyBarcala @RubenSanchezTW Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y\xe2\x80\xa6 https://t.co/CG5l176Gup'","""text/plain""",1579706233,1.22E+18,"""es"""
"b'@EmiDM1987 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labora\xe2\x80\xa6 https://t.co/soeM24m11J'","""text/plain""",1579706129,1.22E+18,"""es"""
"b'@Patrici42457504 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/jNRi15exmG'","""text/plain""",1579706035,1.22E+18,"""es"""
"b'@Crisvgo Buenos d\xc3\xadas @Crisvgo, gracias por escribirnos. Lamentamos lo que nos comentas. Para poder gestionar tu con\xe2\x80\xa6 https://t.co/heCae2arHL'","""text/plain""",1579705925,1.22E+18,"""es"""
"b'@javi84bcn Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labora\xe2\x80\xa6 https://t.co/6uHfjG0q5Y'","""text/plain""",1579705664,1.22E+18,"""es"""
"b'@BeaWecIndy1 @charomerlos @jesusmgranada2 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n\xe2\x80\xa6 https://t.co/dvHVKgqnR3'","""text/plain""",1579705658,1.22E+18,"""es"""
"b'@Quesobola2 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por labor\xe2\x80\xa6 https://t.co/FgGZ4VUIou'","""text/plain""",1579704689,1.22E+18,"""es"""
"b'@Dadel_33 Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por laborat\xe2\x80\xa6 https://t.co/5CtngpNWMP'","""text/plain""",1579704350,1.21999E+18,"""es"""
"b'@annariusoficial Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por\xe2\x80\xa6 https://t.co/7E2LrMSwmz'","""text/plain""",1579703951,1.21999E+18,"""es"""
"b'@RevistaRayas Nuestras joyas son de oro y plata de primera ley, cumplen la legislaci\xc3\xb3n y est\xc3\xa1n certificadas por lab\xe2\x80\xa6 https://t.co/3FZB02wOeB'","""text/plain""",1579703931,1.21999E+18,"""es"""
